time decyear lat lon height heightE waterID distnode width reachID nodeID wse OCval
29487610.5996973 2018.935 42.8711682778268 -88.9305281235504 236.321411132812 201.784393310547 9100 1354.57161343974 5467.5 74287200333 74287200330513 235.100006103516 96
29487610.6002972 2018.935 42.8711302117883 -88.9305332532059 236.335784912109 201.798767089844 9100 1357.94207397344 5467.5 74287200333 74287200330513 235.100006103516 96
29487610.6009973 2018.935 42.87108583391 -88.9305392538171 236.324737548828 201.788024902344 9100 1361.87676349605 5467.5 74287200333 74287200330513 235.100006103516 96
29487610.6015973 2018.935 42.8710477886934 -88.9305443628891 236.318084716797 201.781372070312 9100 1365.25680318089 5467.5 74287200333 74287200330513 235.100006103516 96
29487610.6021973 2018.935 42.8710097593568 -88.9305494707632 236.322067260742 201.785354614258 9100 1368.6402453864 5467.5 74287200333 74287200330513 235.100006103516 96
29487610.6027973 2018.935 42.870971722987 -88.930554550455 236.314987182617 201.778274536133 9100 1372.03037337725 5467.5 74287200333 74287200330513 235.100006103516 96
29487610.6033972 2018.935 42.8709336854444 -88.9305596066118 236.312530517578 201.775817871094 9100 1375.42638857842 5467.5 74287200333 74287200330513 235.100006103516 96
29487610.6040973 2018.935 42.8708893408687 -88.9305655329971 236.323043823242 201.78662109375 9100 1379.39012393394 5467.5 74287200333 74287200330513 235.100006103516 96
29487610.6046972 2018.935 42.8708513204718 -88.9305705813754 236.311111450195 201.774688720703 9100 1382.79504818179 5467.5 74287200333 74287200330513 235.100006103516 96
29487610.6052973 2018.935 42.8708133030997 -88.9305756220142 236.321746826172 201.785339355469 9100 1386.18731664446 5543 74287200333 74287200330503 235.100006103516 96
29487610.6059973 2018.935 42.8707689532826 -88.9305814938168 236.31526184082 201.778839111328 9100 1389.70946435303 5543 74287200333 74287200330503 235.100006103516 96
29487610.6068972 2018.935 42.8707119292163 -88.930589017179 236.359756469727 201.823638916016 9100 1394.2523275421 5543 74287200333 74287200330503 235.100006103516 95
29487610.6084973 2018.935 42.8706105246847 -88.9306023257081 236.353790283203 201.817657470703 9100 1402.36950137846 5543 74287200333 74287200330503 235.100006103516 95
29487610.6105973 2018.935 42.8704774110427 -88.9306197369315 236.368194580078 201.832366943359 9100 1413.09495298708 5543 74287200333 74287200330503 235.100006103516 95
29487610.6117973 2018.935 42.8704013164518 -88.9306296552583 236.344375610352 201.808547973633 9100 1419.26149713175 5543 74287200333 74287200330503 235.100006103516 95
29487610.6125973 2018.935 42.8703505776941 -88.9306362651801 236.346115112305 201.810577392578 9100 1423.38679415436 5543 74287200333 74287200330503 235.100006103516 95
29487610.6134972 2018.935 42.8702934551738 -88.930643654646 236.359085083008 201.823547363281 9100 1428.04637590697 5543 74287200333 74287200330503 235.100006103516 95
29487610.6143973 2018.935 42.8702363256916 -88.9306510549432 236.370834350586 201.835296630859 9100 1432.71929490909 5543 74287200333 74287200330503 235.100006103516 95
29487610.6156973 2018.935 42.8701538926097 -88.9306616894216 236.377548217773 201.842300415039 9100 1439.48719937813 5543 74287200333 74287200330503 235.100006103516 95
29487610.6177973 2018.935 42.8700200650737 -88.9306790549355 236.400619506836 201.865692138672 9100 1450.52696416131 5543 74287200333 74287200330503 235.100006103516 95
29487610.6230973 2018.935 42.8696819718897 -88.9307226649079 236.386337280273 201.851684570312 9100 1478.73561980981 5543 74287200333 74287200330503 235.100006103516 94
29487610.6250973 2018.935 42.8695543436736 -88.9307390402592 236.364410400391 201.830047607422 9100 1489.49838268128 5543 74287200333 74287200330503 235.100006103516 94
29487610.6259973 2018.935 42.8694969002988 -88.9307463765986 236.35888671875 201.824523925781 9100 1494.36320500035 5543 74287200333 74287200330503 235.100006103516 96
29487610.6267973 2018.935 42.8694458722076 -88.9307529292926 236.337371826172 201.803314208984 9100 1498.69283480974 5543 74287200333 74287200330503 235.100006103516 95
29487610.6273972 2018.935 42.8694075822274 -88.9307578054059 236.320053100586 201.785995483398 9100 1501.94958338548 5543 74287200333 74287200330503 235.100006103516 95
29487610.6279973 2018.935 42.8693693023088 -88.9307626895446 236.323501586914 201.789443969727 9100 1505.21014120714 5543 74287200333 74287200330503 235.100006103516 95
29487610.6286973 2018.935 42.8693246396559 -88.9307683703884 236.349655151367 201.81559753418 9100 1509.02158832611 5543 74287200333 74287200330503 235.100006103516 95
29487610.6293973 2018.935 42.8692799883104 -88.9307740537515 236.345520019531 201.811767578125 9100 1512.83872695675 5543 74287200333 74287200330503 235.100006103516 95
29487610.6299973 2018.935 42.8692416957541 -88.9307788860277 236.332015991211 201.798263549805 9100 1516.1196120223 5543 74287200333 74287200330503 235.100006103516 96
29487610.6306972 2018.935 42.8691970602473 -88.9307845581267 236.328277587891 201.794525146484 9100 1519.94838319644 5543 74287200333 74287200330503 235.100006103516 96
29487610.6314973 2018.935 42.8691460421313 -88.9307910162557 236.349578857422 201.815826416016 9100 1524.3339862123 5543 74287200333 74287200330503 235.100006103516 96
29487610.6324973 2018.935 42.8690822872804 -88.9307990812708 236.362274169922 201.828811645508 9100 1529.82686190762 5543 74287200333 74287200330503 235.100006103516 96
29487610.6336973 2018.935 42.8690057973167 -88.9308087328713 236.371963500977 201.838500976562 9100 1536.43568461546 5543 74287200333 74287200330503 235.100006103516 96
29487610.6349973 2018.935 42.8689226645297 -88.9308191646218 236.358612060547 201.825439453125 9100 1543.64260458221 5543 74287200333 74287200330503 235.100006103516 95
29487610.6359973 2018.935 42.8688591822112 -88.9308271759864 236.359329223633 201.826171875 9100 1549.1588236254 5543 74287200333 74287200330503 235.100006103516 95
29487610.6368973 2018.935 42.8688020643051 -88.9308343822685 236.35856628418 201.825408935547 9100 1554.13300470027 5543 74287200333 74287200330503 235.100006103516 95
29487610.6380973 2018.935 42.8687259060654 -88.9308439570759 236.372253417969 201.839385986328 9100 1560.78273454422 5543 74287200333 74287200330503 235.100006103516 94
29487610.6400973 2018.935 42.8685989756834 -88.9308598819269 236.368499755859 201.835632324219 9100 1571.90682531108 5543 74287200333 74287200330503 235.100006103516 94
29487610.6414973 2018.935 42.868510098928 -88.9308709914344 236.367584228516 201.835006713867 9100 1579.72680799454 5543 74287200333 74287200330503 235.100006103516 94
