time decyear lat lon Hice1 Hice2 Himth geoid distnode width reachID nodeID wse OCval
420896785.380061 2013.336 41.356524 -92.95678 NA NA NA -31.36851875 524.302345098776 169 74284100161 74284100160781 207.300003051758 0
420896785.405972 2013.336 41.358043 -92.957294 NA NA NA -31.3680511884382 609.905324655482 169 74284100161 74284100160781 207.300003051758 0
420896785.431884 2013.336 41.359562 -92.957807 NA NA NA -31.3675836268765 694.325179741305 169 74284100161 74284100160791 207.300003051758 0
420896785.457796 2013.336 41.36108 -92.958321 209.784467622465 209.672967622466 208.60338112381 -31.3671163731235 762.063149698652 159 74284100161 74284100160801 207.300003051758 0
420896785.483707 2013.336 41.362599 -92.958834 209.626602561232 209.541102561232 209.480582673183 -31.3666488115618 855.346105262899 159 74284100161 74284100160801 207.300003051758 0
420896785.509619 2013.336 41.364118 -92.959348 209.5435375 209.385737499999 209.87571571229 -31.36618125 946.431545944349 210 74284100161 74284100160821 207.300003051758 0
420896785.53553 2013.336 41.365637 -92.959861 210.658672438768 209.362972438767 210.254486257152 -31.3657136884382 1026.42983736259 210 74284100161 74284100160821 207.300003051758 0
420896785.561442 2013.336 41.367156 -92.960375 214.241707377535 210.828307377535 210.548381759694 -31.3652461268765 1117.52573404823 169 74284100161 74284100160831 207.300003051758 0
420896785.587354 2013.336 41.368674 -92.960889 214.504142622466 209.112242622465 211.150407246358 -31.3647788731235 1191.22217751315 143 74284100161 74284100160851 207.300003051758 0
420896785.613265 2013.336 41.370193 -92.961402 214.709277561233 208.223477561233 211.821372485737 -31.3643113115618 1253.43773488604 143 74284100161 74284100160851 207.300003051758 0
420896785.639177 2013.336 41.371712 -92.961916 215.809412499999 215.737712499999 212.583479071325 -31.36384375 1334.56036906919 127 74284100161 74284100160861 207.300003051758 0
420896785.665088 2013.336 41.373231 -92.96243 216.161647438767 215.901047438768 213.677607212776 -31.3633761884382 1409.32124513973 127 74284100161 74284100160861 207.300003051758 0
420896785.691 2013.336 41.37475 -92.962943 216.117382377534 216.012782377536 214.839970697375 -31.3629086268765 1481.80589569726 171 74284100161 74284100160891 209.300003051758 0
420896785.716912 2013.336 41.376268 -92.963457 216.354217622466 216.336617622465 215.906535338319 -31.3624413731235 1513.98315151006 1086.68774414062 74284100174 74284100170024 217.400009155273 0
420896785.742823 2013.336 41.377787 -92.963971 216.629952561233 216.597452561233 216.852257177239 -31.3619738115618 1520.39434087429 1489.55975341797 74284100183 74284100180013 217.400009155273 0
420896785.768735 2013.336 41.379306 -92.964484 222.691487500001 216.8091875 217.683547620714 -31.36150625 1528.03085995252 1701.81884765625 74284100183 74284100180023 217.400009155273 0
420896785.794646 2013.336 41.380825 -92.964998 223.293822438768 223.467122438766 218.344579353348 -31.3610386884382 1539.82507951534 1701.81884765625 74284100183 74284100180023 217.400009155273 0
420896785.820558 2013.336 41.382343 -92.965512 228.809157683698 NA 219.275067850626 -31.3605714346853 1570.87795711796 1701.81884765625 74284100183 74284100180023 217.400009155273 75
420896785.84647 2013.336 41.383862 -92.966026 228.937992622467 NA 220.993600078454 -31.3601038731235 1620.17101177892 1701.81884765625 74284100183 74284100180023 217.400009155273 0
420896785.872383 2013.336 41.385381 -92.96654 228.685127561232 NA 223.881708434998 -31.3596363115618 1686.06816403715 1701.81884765625 74284100183 74284100180023 217.400009155273 0
420896785.898294 2013.336 41.3869 -92.967053 228.613862500001 NA 226.258396300012 -31.35916875 1766.77206625842 1701.81884765625 74284100183 74284100180023 217.400009155273 0
420896785.924206 2013.336 41.388419 -92.967567 237.579997438769 228.381897438769 228.125544810177 -31.3587011884382 1860.24133912647 1701.81884765625 74284100183 74284100180023 217.400009155273 0
420896785.950117 2013.336 41.389937 -92.968081 228.171532683699 225.609132683698 228.857612331568 -31.3582339346853 1964.62138787686 1701.81884765625 74284100183 74284100180023 217.400009155273 0
420896785.976029 2013.336 41.391456 -92.968595 237.90948880311 238.234188803109 229.465557754187 -31.3578863043013 2078.4280018984 1701.81884765625 74284100183 74284100180023 217.400009155273 0
420896786.001941 2013.336 41.392975 -92.969109 238.11106626282 NA 229.948311896631 -31.3576587631072 2200.12791696379 1701.81884765625 74284100183 74284100180023 217.400009155273 0
420896786.027852 2013.336 41.394494 -92.969623 238.31634372253 NA 230.790191279382 -31.3574312219131 2328.48376856978 1701.81884765625 74284100183 74284100180023 217.400009155273 0
420896786.053764 2013.336 41.396012 -92.970137 239.394621328746 NA 233.874818372614 -31.3572038305157 2456.06562526885 2706 74284100183 74284100180033 217.400009155273 0
420896786.079675 2013.336 41.397531 -92.970651 238.587698788456 238.598398788457 235.922009976999 -31.3569762893216 2589.00479654368 2706 74284100183 74284100180033 217.400009155273 0
420896786.105587 2013.336 41.39905 -92.971165 NA 229.811276248169 238.095882331231 -31.3567487481275 2726.57422999824 2706 74284100183 74284100180033 217.400009155273 0
420896786.131499 2013.336 41.400569 -92.971679 249.768953707879 NA 239.429611594185 -31.3565212069334 2868.1076911679 2706 74284100183 74284100180033 217.400009155273 0
420896786.15741 2013.336 41.402087 -92.972193 249.582131314096 248.711131314096 239.767232916198 -31.3562938155361 3012.94123196927 2706 74284100183 74284100180033 217.400009155273 0
420896786.183322 2013.336 41.403606 -92.972707 249.893008773806 244.209708773807 241.265450306958 -31.356066274342 3160.81611031354 2706 74284100183 74284100180033 217.400009155273 0
420896786.209233 2013.336 41.405125 -92.973221 244.961886233518 244.790186233518 243.353026353706 -31.3558387331479 3311.23465818953 2706 74284100183 74284100180033 217.400009155273 0
420896786.235145 2013.336 41.406644 -92.973735 244.96346369323 244.996863693229 246.282325124441 -31.3556111919538 3452.75760073752 2778 74284100183 74284100180133 221.100006103516 0
420896786.261057 2013.336 41.408162 -92.974249 236.139641299446 250.858741299445 247.347827395825 -31.3553838005564 3545.61639221826 2778 74284100183 74284100180133 221.100006103516 0
420896786.286968 2013.336 41.409681 -92.974763 NA NA NA -31.3551562593623 3644.49992916528 2778 74284100183 74284100180133 221.100006103516 0
420896786.31288 2013.336 41.4112 -92.975278 250.639496218869 250.473496218868 248.897250929459 -31.3549287181682 3748.8075157283 2778 74284100183 74284100180133 221.100006103516 0
420896786.338791 2013.336 41.412719 -92.975792 253.08337367858 250.539173678579 250.012846444176 -31.3547011769741 3858.19966765406 2778 74284100183 74284100180133 221.100006103516 0
420896786.364703 2013.336 41.414237 -92.976306 253.540351284796 246.349151284795 251.640312049311 -31.3544737855767 3971.69921673096 2714 74284100183 74284100180143 221.100006103516 0
420896786.390615 2013.336 41.415756 -92.97682 253.175228744506 252.682528744507 252.671778681402 -31.3542462443826 4083.37395563854 2714 74284100183 74284100180143 221.100006103516 0
420896786.416526 2013.336 41.417275 -92.977334 253.200306204217 253.241106204217 252.924913450791 -31.3540187031885 4190.03210393869 2422 74284100183 74284100180163 221.100006103516 0
420896786.442438 2013.336 41.418794 -92.977849 253.361283663929 252.251583663928 253.29912336431 -31.3537911619944 4297.59122012753 2422 74284100183 74284100180163 221.100006103516 0
420896786.468349 2013.336 41.420312 -92.978363 253.664561270145 253.859861270144 253.570939439542 -31.353563770597 4399.61349777754 2122 74284100183 74284100180193 221.100006103516 0
420896786.494261 2013.336 41.421831 -92.978877 255.866238729856 252.838038729856 253.971378672441 -31.353336229403 4497.4351841183 2122 74284100183 74284100180193 221.100006103516 0
420896786.520173 2013.336 41.42335 -92.979392 254.090216189567 258.794216189567 254.225712875577 -31.3531086882089 4599.71142686747 2122 74284100183 74284100180193 221.100006103516 0
420896786.546084 2013.336 41.424868 -92.979906 254.380593795783 254.085793795783 254.52458239603 -31.3528812968115 4699.78631571115 2061 74284100183 74284100180203 221.199996948242 0
420896786.571996 2013.336 41.426387 -92.98042 254.461771255494 254.655471255494 255.027559564423 -31.3526537556174 4804.05654809343 2061 74284100183 74284100180203 221.199996948242 0
420896786.597907 2013.336 41.427906 -92.980935 254.463348715204 265.719048715203 255.628420887779 -31.3524262144233 4909.45395778651 1944 74284100183 74284100180233 221.25 0
420896834.731596 2013.336 44.245739 -93.971154 299.010625956149 NA 293.879528664876 -27.3997184553248 3056.82848024658 86.5 74288100121 74288100120251 227.199996948242 0
