time decyear lat lon Hocean Hocog Himth geoid distnode width reachID nodeID wse OCval
582308949.245943 2018.451 41.764395 -89.646652 NA 193.52744892179 205.131683192616 -32.966077030409 1481.18137509628 877 74287200111 74287200110341 193.5 0
582308949.296879 2018.451 41.761424 -89.647678 NA 194.194832762516 205.820065652763 -32.967935878844 1822.0651296743 877 74287200111 74287200110341 193.5 0
582308949.347814 2018.451 41.758453 -89.648702 NA 194.518116603241 206.452593868562 -32.969794727279 2162.94943546084 877 74287200111 74287200110341 193.5 0
582308949.39875 2018.451 41.755481 -89.649727 NA 194.592800977073 206.649609032938 -32.9716542013782 2503.99141262327 877 74287200111 74287200110341 193.5 0
582308949.449685 2018.451 41.75251 -89.650752 NA 194.091284817795 207.013861485617 -32.9735130498132 2844.94438600918 877 74287200111 74287200110341 193.5 0
582308949.500621 2018.451 41.749538 -89.651777 NA 195.017769191602 207.601344257505 -32.9753725239124 3186.01692859422 877 74287200111 74287200110341 193.5 0
582308949.551556 2018.451 41.746567 -89.652802 NA 194.38095303233 207.59436292365 -32.9772313723474 3526.99133389856 877 74287200111 74287200110341 193.5 0
582308949.602492 2018.451 41.743595 -89.653826 NA 194.307937406146 207.661104800189 -32.9790908464466 3868.05796076902 877 74287200111 74287200110341 193.5 0
582308975.223048 2018.451 40.248034 -90.160024 NA 131.616903667304 142.184731193731 -33.1450281639501 3134.36694795227 170 74282300061 74282300060391 269.399993896484 0
582308975.273984 2018.451 40.245059 -90.161012 NA 131.495146740177 142.501262141192 -33.1426138542665 2832.71594404113 189 74282300061 74282300060381 269.399993896484 0
582308975.324919 2018.451 40.242084 -90.162001 NA 131.473789813031 142.7836651135 -33.1401995445829 2531.17382208514 189 74282300061 74282300060381 269.399993896484 0
582308975.375855 2018.451 40.239108 -90.162989 NA 131.765632026452 142.943153821821 -33.1377844233667 2238.93449640774 180.5 74282300061 74282300060371 269.399993896484 0
582308975.42679 2018.451 40.236133 -90.163978 NA 128.751275099305 142.783816860739 -33.1353701136831 1947.86246792884 180.5 74282300061 74282300060371 269.399993896484 0
582308975.477726 2018.451 40.233158 -90.164966 NA 128.661718172179 142.191750305016 -33.1329558039995 1675.69796923819 180.5 74282300061 74282300060371 269.399993896484 0
582308975.528661 2018.451 40.230183 -90.165955 NA 132.317461245034 141.824416432853 -33.1305414943158 1433.33613501767 180.5 74282300061 74282300060371 269.399993896484 0
582308975.579597 2018.451 40.227208 -90.166943 NA 132.182704317887 141.463571521164 -33.1281271846322 1209.90044802883 159 74282300061 74282300060361 269.399993896484 0
582308975.630532 2018.451 40.224233 -90.167931 NA 132.365147390773 141.523175867804 -33.1257128749486 1009.49793894292 169 74282300061 74282300060341 269.399993896484 0
582308975.681468 2018.451 40.221258 -90.168919 NA 132.447190463635 142.067896735739 -33.123298565265 773.681530443716 170 74282300061 74282300060331 269.399993896484 0
582308975.732403 2018.451 40.218283 -90.169907 NA 132.507333536504 142.627522374938 -33.1208842555814 576.695885845172 150 74282300061 74282300060321 269.399993896484 0
582308975.783339 2018.451 40.215308 -90.170895 NA 132.54197660937 143.217498091845 -33.1184699458978 383.077146216887 154.5 74282300061 74282300060311 269.399993896484 7
582308975.834274 2018.451 40.212333 -90.171883 NA 132.529719682234 143.764270385981 -33.1160556362142 248.395905947191 171 74282300061 74282300060291 269.399993896484 0
582308975.88521 2018.451 40.209357 -90.172871 NA 132.382061895633 144.19938411317 -33.1136405149979 128.881586658483 155.5 74282300061 74282300060281 269.399993896484 92
582308975.936146 2018.451 40.206382 -90.173859 NA 132.216404968502 144.451101106554 -33.1112262053143 121.309354474149 156 74282300061 74282300060261 269.399993896484 89
582308975.987081 2018.451 40.203407 -90.174847 NA 132.455048041366 144.651925234571 -33.1088118956307 113.961117807189 154 74282300061 74282300060251 269.399993896484 91
582308976.038015 2018.451 40.200432 -90.175835 NA 132.360828132928 144.794966510088 -33.107534597343 60.00826583095 151.5 74282300061 74282300060231 269.399993896484 92
582308976.088951 2018.451 40.197457 -90.176822 NA 132.348294227221 145.007838537276 -33.1066432993221 84.0394718251071 171 74282300061 74282300060211 269.399993896484 0
582308976.139886 2018.451 40.194482 -90.17781 NA 132.030960321517 145.143690944324 -33.1057520013011 205.348510466664 180 74282300061 74282300060201 269.399993896484 0
582308976.190822 2018.451 40.191507 -90.178797 NA 132.006626415802 145.261034771294 -33.1048607032802 433.860228389241 169 74282300061 74282300060191 269.399993896484 54
582308976.241757 2018.451 40.188532 -90.179785 NA 131.856492510109 145.250628983522 -33.1039694052592 676.399564052589 171 74282300061 74282300060181 269.399993896484 88
582308976.292693 2018.451 40.185556 -90.180772 NA 132.245458256879 145.197011203891 -33.1030778076423 945.559792360069 152 74282300061 74282300060171 269.399993896484 87
582308976.343628 2018.451 40.182581 -90.181759 NA 132.068224351164 145.182005448589 -33.1021865096213 1237.46393059356 152 74282300061 74282300060171 269.399993896484 35
582308976.394564 2018.451 40.179606 -90.182746 NA 131.713990445468 145.270829912474 -33.1012952116004 1447.10891804704 150 74282300061 74282300060091 269.399993896484 82
582308976.445499 2018.451 40.176631 -90.183734 NA 131.580756539732 145.304848465665 -33.1004039135794 1513.2448784102 161 74282300061 74282300060071 269.399993896484 84
582308976.496435 2018.451 40.173656 -90.184721 NA 131.535922634049 145.100231981204 -33.0995126155584 1476.25616374733 150 74282300061 74282300060031 269.399993896484 86
582308976.54737 2018.451 40.17068 -90.185708 NA 131.850488380822 144.754010617655 -33.0986210179415 1412.70518766654 184 74282300061 74282300060011 269.399993896484 87
582308976.598306 2018.451 40.167705 -90.186695 NA 132.119154475113 144.658423463254 -33.0977297199206 1309.11876126959 170 74282300051 74282300050031 130.699996948242 80
582308976.649241 2018.451 40.16473 -90.187681 NA 132.189220569415 144.627647133314 -33.0968384218996 1203.92809455525 150 74282300051 74282300050041 130.699996948242 0
