time decyear lat lon Himth Himth05 geoid distnode width reachID nodeID wse OCval
341244454.441843 2010.813 40.8924377 -87.8319717 196.175580690065 196.175580690065 -32.7745967444 119.166806632249 87 74282800021 74282800020331 189.5 0
341244454.489015 2010.813 40.8895869 -87.8323439 195.889158076223 195.889158076223 -32.7731740731 67.6972898912168 80 74282800021 74282800020351 189.5 0
341244454.536186 2010.813 40.8867362 -87.832716 195.379299839234 195.379299839234 -32.7717705778 160.187007490747 87 74282800021 74282800020361 189.5 0
341244454.583358 2010.813 40.8838855 -87.8330881 195.302855963616 195.302854383554 -32.7703934828 160.559384334515 87 74282800021 74282800020381 189.5 0
341244454.630529 2010.813 40.8810348 -87.8334601 195.58924105514 195.58924105514 -32.7690404836 64.3104080015705 105 74282800021 74282800020401 189.5 0
341244454.677701 2010.813 40.8781841 -87.8338322 195.637369411241 195.637369411241 -32.7676988588 310.155406355338 97 74282800021 74282800020411 189.5 0
341244454.724872 2010.813 40.8753334 -87.8342043 195.819347009324 195.819335440396 -32.7663758188 580.045031753066 86.5 74282800021 74282800020421 189.5 0
341244454.772043 2010.813 40.8724827 -87.8345763 195.649923042296 195.649920463135 -32.7650791673 844.514744217908 84 74282800021 74282800020431 189.5 0
341244454.819215 2010.813 40.8696319 -87.8349483 195.5044924578 195.504486123948 -32.7638163887 1001.22050537304 84.5 74282800021 74282800020471 189.5 0
341244454.866386 2010.813 40.8667812 -87.8353203 195.30720293276 195.307195022939 -32.7625951888 961.780899754773 67 74282800021 74282800020521 189.5 0
341244454.913558 2010.813 40.8639305 -87.8356923 194.934748452434 194.934748452434 -32.7614097997 687.579676443538 65 74282800021 74282800020591 189.5 0
341244454.960729 2010.813 40.8610798 -87.8360643 194.649201298382 194.649201298382 -32.7602515151 388.090666186731 65 74282800021 74282800020591 189.5 0
341244455.007908 2010.813 40.8582286 -87.8364363 194.906126408203 194.906126408203 -32.7591267852 86.2650066461044 75 74282800021 74282800020581 189.5 9
341244455.055079 2010.813 40.8553779 -87.8368082 195.026759881415 195.026759881415 -32.7580425503 234.148924868304 75 74282800021 74282800020581 189.5 0
341244455.102251 2010.813 40.8525271 -87.8371801 195.337754401494 195.337754401494 -32.7570051509 552.638341862602 75 74282800021 74282800020581 189.5 0
341244455.149422 2010.813 40.8496764 -87.8375521 195.101560158787 195.101557549697 -32.7560209611 871.306784404903 75 74282800021 74282800020581 189.5 0
341244455.196594 2010.813 40.8468256 -87.837924 195.130798994527 195.130782923651 -32.7550827477 1040.70752003808 67 74282800021 74282800020681 189.5 0
341244455.243765 2010.813 40.8439749 -87.8382958 194.831833630044 194.831828099746 -32.7541863989 1146.82136002411 90.5 74282800021 74282800020691 189.5 0
341244455.290936 2010.813 40.8411242 -87.8386677 194.459520722286 194.45951864648 -32.7533361743 1284.97095340532 80 74282800021 74282800020701 189.5 0
341244455.338108 2010.813 40.8382734 -87.8390396 193.975201187122 193.975201187122 -32.7525367803 1174.11383129473 75 74282800021 74282800020781 189.5 0
341244455.385279 2010.813 40.8354227 -87.8394114 194.020854811431 194.020854811431 -32.751792966 1056.1270252791 80 74282800021 74282800020791 189.5 0
341244455.432451 2010.813 40.832572 -87.8397832 195.399616986645 195.399616986645 -32.7511086968 986.114456340046 80 74282800021 74282800020791 189.5 0
341244455.479622 2010.813 40.8297212 -87.840155 197.327470455075 197.327470455075 -32.7504783056 943.494499298276 80 74282800021 74282800020811 189.5 0
341244455.526794 2010.813 40.8268705 -87.8405268 198.456459824861 198.456453460483 -32.7499002476 948.344756790095 80 74282800021 74282800020811 189.5 0
341244455.573965 2010.813 40.8240197 -87.8408986 199.152730983537 199.152730983537 -32.7493763977 1013.8678335318 80 74282800021 74282800020821 189.5 0
341244455.621136 2010.813 40.821169 -87.8412704 198.473414423211 198.473414423211 -32.7489086224 1129.08895324219 48 74282800021 74282800020831 189.5 0
341244455.668308 2010.813 40.8183182 -87.8416421 196.738373858827 196.73836342691 -32.7484989146 1288.37380948253 48 74282800021 74282800020831 189.5 0
341244455.715479 2010.813 40.8154675 -87.8420138 196.101317953421 196.101317953421 -32.7481486986 1484.97320003617 63 74282800021 74282800020841 189.5 0
341244455.762651 2010.813 40.8126167 -87.8423856 197.316254634229 197.316254634229 -32.7478564631 1702.63322666438 63 74282800021 74282800020841 189.5 0
341244455.809822 2010.813 40.809766 -87.8427573 196.509466429669 196.509463422539 -32.7476211204 1948.31408721726 63 74282800021 74282800020841 189.5 0
341244455.856994 2010.813 40.8069152 -87.843129 196.268119598159 196.268119598159 -32.747441593 2203.71010428526 63 74282800021 74282800020851 189.5 0
341244455.904165 2010.813 40.8040644 -87.8435006 196.035412079392 196.035412079392 -32.7473170861 2465.2081746975 63 74282800021 74282800020851 189.5 0
341244455.951337 2010.813 40.8012137 -87.8438723 196.111888341578 196.111888341578 -32.7472464235 2738.85874623506 63 74282800021 74282800020851 189.5 0
341244455.99852 2010.813 40.7983622 -87.844244 195.878367620762 195.878362042855 -32.7472303796 3021.4389754353 63 74282800021 74282800020851 189.5 0
